선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타수,타점,희생번트,희생플라이
허경민,두산,0.389,45,187,162,33,63,12,0,2,81,27,0,4
에레디아,SSG,0.381,49,209,189,32,72,10,0,7,103,38,0,3
도슨,키움,0.369,50,224,203,34,75,18,2,7,118,29,0,1
양의지,두산,0.339,46,187,168,21,57,8,0,7,86,43,0,5
김도영,KIA,0.337,49,217,199,43,67,7,3,11,113,31,1,2
박건우,NC,0.331,47,196,172,30,57,13,1,3,81,26,0,1
강백호,KT,0.329,52,237,222,40,73,12,0,15,130,49,0,2
홍창기,LG,0.324,50,226,179,34,58,2,3,2,72,24,1,1
이우성,KIA,0.322,50,207,183,38,59,8,0,8,91,36,0,0
맥키넌,삼성,0.322,46,207,174,21,56,8,0,4,76,22,0,1
전준우,롯데,0.314,40,176,159,20,50,11,1,7,84,31,0,1
레이예스,롯데,0.314,49,214,194,28,61,11,1,6,92,35,0,4
강승호,두산,0.314,54,235,220,33,69,13,5,10,122,40,1,3
페라자,한화,0.313,50,227,198,37,62,13,0,14,117,38,0,2
송성문,키움,0.312,50,182,157,23,49,7,2,6,78,31,0,6
문성주,LG,0.31,53,204,168,24,52,9,1,0,63,27,1,3
박찬호,KIA,0.309,43,189,175,26,54,9,0,0,63,12,2,1
문상철,KT,0.307,45,161,137,23,42,3,0,9,72,21,0,1
구자욱,삼성,0.307,49,224,199,34,61,12,1,9,102,37,0,2
천성호,KT,0.306,51,210,193,36,59,8,3,1,76,17,1,1
로하스,KT,0.303,52,243,201,38,61,17,0,12,114,39,0,1
김혜성,키움,0.303,44,197,178,31,54,6,1,7,83,29,0,1
김현수,LG,0.303,51,220,198,24,60,11,1,4,85,29,0,3
박민우,NC,0.301,37,170,143,21,43,7,1,1,55,13,2,1
라모스,두산,0.299,41,174,157,20,47,9,3,4,74,31,0,5
오스틴,LG,0.297,52,221,185,30,55,9,1,10,96,35,0,5
서호철,NC,0.296,50,209,179,25,53,6,0,3,68,29,1,2
손아섭,NC,0.295,50,233,220,29,65,10,0,3,84,34,1,3
이지영,SSG,0.295,47,163,149,19,44,2,1,1,51,18,2,1
최원준,KIA,0.292,49,190,171,24,50,11,1,3,72,24,1,0
박성한,SSG,0.292,52,230,202,26,59,9,0,1,71,20,2,1
데이비슨,NC,0.291,43,191,165,31,48,8,0,12,92,35,0,2
박해민,LG,0.287,53,216,188,29,54,5,2,1,66,23,2,7
김영웅,삼성,0.286,50,217,185,30,53,8,1,12,99,33,1,1
최형우,KIA,0.286,48,205,182,28,52,13,1,8,91,43,0,2
김지찬,삼성,0.284,50,198,169,30,48,8,0,1,59,13,4,0
권희동,NC,0.283,50,211,166,26,47,9,1,1,61,26,0,3
최지훈,SSG,0.283,52,238,212,36,60,8,4,3,85,16,1,1
김선빈,KIA,0.281,47,180,153,23,43,7,0,4,62,17,2,0
윤동희,롯데,0.278,48,203,180,35,50,14,1,2,72,16,1,2
노시환,한화,0.27,51,230,204,32,55,6,1,10,93,37,0,0
안치홍,한화,0.264,51,219,193,27,51,9,0,5,75,25,0,2
최정,SSG,0.262,46,196,164,29,43,12,0,13,94,39,0,1
김재환,두산,0.26,51,210,177,29,46,10,0,12,92,35,0,4
황재균,KT,0.257,50,206,187,20,48,7,0,1,58,14,3,1
정수빈,두산,0.255,53,235,200,39,51,5,3,2,68,14,4,3
소크라테스,KIA,0.255,51,217,204,27,52,8,0,9,87,31,0,2
고명준,SSG,0.251,50,178,167,15,42,6,0,5,63,25,0,0
문보경,LG,0.251,53,205,175,23,44,8,0,4,64,24,1,7
오지환,LG,0.25,51,190,160,31,40,16,1,2,64,16,1,0
최인호,한화,0.25,49,167,140,23,35,9,1,1,49,13,3,2
장성우,KT,0.248,49,170,145,13,36,6,0,4,54,27,0,2
양석환,두산,0.247,54,221,194,32,48,10,0,12,94,43,0,1
신민재,LG,0.241,51,166,137,26,33,5,1,0,40,17,4,1
김형준,NC,0.241,41,165,137,20,33,6,0,9,66,27,2,1
한유섬,SSG,0.239,45,182,155,29,37,9,0,12,82,37,0,2
김휘집,키움,0.234,49,189,167,23,39,8,1,5,64,25,2,2
김성욱,NC,0.22,50,187,159,27,35,5,1,8,66,29,1,1
김주원,NC,0.211,51,179,147,23,31,6,1,4,51,20,5,1
최주환,키움,0.196,40,175,158,15,31,5,0,4,48,20,0,2